web-scraper-order,web-scraper-start-url,category,category-href,name,price_in_dollar,calories
"1608225484-456","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Black Bean Toasted Cheddar Chalupa","2.99","470"
"1608225443-443","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Hash Brown Toasted Breakfast Burrito Combo","4.19","1010"
"1608225573-536","https://www.tacobell.com/food","Quesadillas","https://www.tacobell.com/food/quesadillas","Chicken Quesadilla","3.79","510"
"1608225604-569","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","2 Chicken Chalupas Supreme Combo","8.19","1250"
"1608225508-482","https://www.tacobell.com/food","GROUPS","https://www.tacobell.com/food/party-packs","Soft Taco Party Pack","13.99","180"
"1608225552-526","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Black Bean Quesarito","3.19","630"
"1608225529-503","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Lipton® Unsweetened Iced Tea","1.99","0"
"1608225600-561","https://www.tacobell.com/food","Tacos","https://www.tacobell.com/food/tacos","Chalupa Supreme","2.99","350"
"1608225508-483","https://www.tacobell.com/food","GROUPS","https://www.tacobell.com/food/party-packs","Variety Taco Party Pack","15.99","170"
"1608225529-495","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Mountain Dew®","1.99","220-410"
"1608225529-487","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Dragon Fruit Freeze","2.69","190-230"
"1608225624-583","https://www.tacobell.com/food","Online Exclusives","https://www.tacobell.com/food/online-exclusives","Black Bean Chalupa","3.29","330"
"1608225532-516","https://www.tacobell.com/food","Sides & Sweets","https://www.tacobell.com/food/sides-sweets","Diablo Sauce Packet","0.00","0"
"1608225552-521","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Chalupa Supreme","2.99","350"
"1608225593-546","https://www.tacobell.com/food","Nachos","https://www.tacobell.com/food/nachos","Chips and Nacho Cheese Sauce","1.00","220"
"1608225645-588","https://www.tacobell.com/food","New","https://www.tacobell.com/food/new","Black Bean Chalupa","3.29","330"
"1608225573-537","https://www.tacobell.com/food","Quesadillas","https://www.tacobell.com/food/quesadillas","Chicken Quesadilla Combo","6.59","1100"
"1608225443-444","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Grande Toasted Breakfast Burrito Steak","3.49","560"
"1608225600-556","https://www.tacobell.com/food","Tacos","https://www.tacobell.com/food/tacos","3 Crunchy Tacos Combo","5.79","930"
"1608225573-541","https://www.tacobell.com/food","Quesadillas","https://www.tacobell.com/food/quesadillas","Quesarito","3.19","650"
"1608225443-447","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Breakfast Crunchwrap","2.79","670"
"1608225484-462","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Bean Burrito","1.29","350"
"1608225443-449","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Hash Brown","1.29","160"
"1608225484-460","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Black Bean Crunchwrap Supreme®","3.69","510"
"1608225529-497","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Mountain Dew® Baja Blast™ Zero Sugar","1.99","5-15"
"1608225464-454","https://www.tacobell.com/food","Power Menu","https://www.tacobell.com/food/power-menu","Power Menu Bowl","5.49","470"
"1608225504-473","https://www.tacobell.com/food","Value Menu","https://www.tacobell.com/food/cravings-value-menu","Beef Burrito","1.00","430"
"1608225529-499","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Sierra Mist®","1.99","200-380"
"1608225573-538","https://www.tacobell.com/food","Quesadillas","https://www.tacobell.com/food/quesadillas","Steak Quesadilla","3.99","520"
"1608225604-567","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","3 Doritos® Locos Tacos Supreme Combo","7.59","990"
"1608225532-512","https://www.tacobell.com/food","Sides & Sweets","https://www.tacobell.com/food/sides-sweets","Cinnabon Delights® 12 Pack","4.99","930"
"1608225600-562","https://www.tacobell.com/food","Tacos","https://www.tacobell.com/food/tacos","Cheesy Gordita Crunch","3.59","500"
"1608225484-469","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Cinnabon Delights® 2 Pack","1.29","160"
"1608225529-489","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Wild Strawberry Freeze","2.69","150-190"
